1,0
276,6, 35%, 98%, 98%, 100%, 100%, 100%
277,6, 42%, 97%, 98%, 100%, 100%, 100%
278,6, 62%, 98%, 98%, 100%, 100%, 100%
279,6, 48%, 96%, 98%, 100%, 100%, 100%
280,6, 56%, 98%, 98%, 100%, 100%, 100%
281,5, 93%, 98%, 100%, 100%, 100%
282,5, 92%, 98%, 100%, 100%, 100%
283,5, 86%, 98%, 100%, 100%, 100%
284,5, 88%, 98%, 100%, 100%, 100%
285,5, 95%, 97%, 100%, 100%, 100%
286,5, 97%, 99%, 100%, 100%, 100%
287,5, 96%, 98%, 100%, 100%, 100%
288,5, 97%, 99%, 100%, 100%, 100%
289,5, 98%, 98%, 100%, 100%, 100%
290,5, 99%, 99%, 100%, 100%, 100%
291,6, 27%, 99%, 99%, 100%, 100%, 100%
292,6, 34%, 99%, 100%, 100%, 100%, 100%
293,6, 60%, 99%, 100%, 100%, 100%, 100%
294,5, 99%, 100%, 100%, 100%, 100%
295,6, 69%, 99%, 100%, 100%, 100%, 100%
296,6, 89%, 99%, 100%, 100%, 100%, 100%
297,6, 60%, 99%, 100%, 100%, 100%, 100%
